@@@Starting_Logging: /sdcard/study/logMoMa_20180313_163226_MoMa_3_data.csv

 ###START,0,0,1
68860,*Target 0,84.44471,62.594772,*Target 1,204.30153,62.968056,*Target 2,297.5948,80.55529,*Target 3,62.968056,195.69847,*Target 4,313.1985,219.53195,*Target 5,80.5553,337.4052,*Target 6,219.53195,321.80154,*Target 7,337.4052,319.4447,*CURSOR XY ,204.73462,195.9343,*HEAD,-0.502291,-0.43930054,
68879,*Target 0,83.25381,62.514214,*Target 1,205.45903,63.259445,*Target 2,297.51422,81.7462,*Target 3,63.259445,194.54095,*Target 4,312.04095,219.24055,*Target 5,81.74621,337.48578,*Target 6,219.24055,322.95905,*Target 7,337.48578,318.25378,*CURSOR XY ,204.45287,196.0911,*HEAD,-0.47229415,-0.42234802,
68898,*Target 0,82.06021,62.504837,*Target 1,206.5971,63.61937,*Target 2,297.50482,82.9398,*Target 3,63.61937,193.4029,*Target 4,310.9029,218.88063,*Target 5,82.939804,337.49518,*Target 6,218.88062,324.09714,*Target 7,337.49518,317.0602,*CURSOR XY ,204.31007,196.3287,*HEAD,-0.45745724,-0.39666748,
68918,*Target 0,80.80557,62.571907,*Target 1,207.7696,64.07086,*Target 2,297.5719,84.194435,*Target 3,64.07086,192.23038,*Target 4,309.73038,218.42912,*Target 5,84.19444,337.4281,*Target 6,218.42914,325.26962,*Target 7,337.4281,315.80554,*CURSOR XY ,204.25595,196.80458,*HEAD,-0.4525934,-0.34526062,
68937,*Target 0,79.61978,62.708477,*Target 1,208.85516,64.56718,*Target 2,297.7085,85.38023,*Target 3,64.567184,191.14482,*Target 4,308.6448,217.93282,*Target 5,85.38023,337.2915,*Target 6,217.93282,326.3552,*Target 7,337.2915,314.61975,*CURSOR XY ,204.24284,197.08862,*HEAD,-0.4518973,-0.3145752,
68956,*Target 0,78.44425,62.915543,*Target 1,209.90916,65.127365,*Target 2,297.91556,86.55576,*Target 3,65.12737,190.09082,*Target 4,307.5908,217.37262,*Target 5,86.55577,337.08444,*Target 6,217.37262,327.4092,*Target 7,337.08444,313.4442,*CURSOR XY ,204.227,197.30751,*HEAD,-0.4508611,-0.2909088,
68975,*Target 0,77.28317,63.192368,*Target 1,210.92789,65.749435,*Target 2,298.19238,87.71686,*Target 3,65.74944,189.07211,*Target 4,306.57208,216.75055,*Target 5,87.71686,336.80762,*Target 6,216.75055,328.42792,*Target 7,336.80762,312.28314,*CURSOR XY ,204.31763,197.40515,*HEAD,-0.46092772,-0.280365,
68994,*Target 0,76.14067,63.537964,*Target 1,211.90767,66.43117,*Target 2,298.53796,88.85936,*Target 3,66.431175,188.09232,*Target 4,305.5923,216.0688,*Target 5,88.85936,336.46204,*Target 6,216.0688,329.4077,*Target 7,336.46204,311.14062,*CURSOR XY ,204.39407,197.43959,*HEAD,-0.46937954,-0.2766571,
69012,*Target 0,75.079124,63.927692,*Target 1,212.79683,67.12986,*Target 2,298.9277,89.9209,*Target 3,67.12986,187.20317,*Target 4,304.70316,215.37012,*Target 5,89.920906,336.0723,*Target 6,215.37012,330.29684,*Target 7,336.0723,310.0791,*CURSOR XY ,204.43823,197.35559,*HEAD,-0.4740094,-0.28572083,
69031,*Target 0,73.98441,64.40346,*Target 1,213.69095,67.92062,*Target 2,299.40347,91.01562,*Target 3,67.92063,186.30905,*Target 4,303.80902,214.57935,*Target 5,91.01562,335.59653,*Target 6,214.57935,331.19098,*Target 7,335.59653,308.98438,*CURSOR XY ,204.44641,196.97375,*HEAD,-0.47402376,-0.3269806,
69050,*Target 0,72.92004,64.94368,*Target 1,214.53629,68.76332,*Target 2,299.9437,92.08,*Target 3,68.76333,185.46371,*Target 4,302.96368,213.73665,*Target 5,92.08,335.0563,*Target 6,213.73665,332.03632,*Target 7,335.0563,307.92,*CURSOR XY ,204.39201,196.60233,*HEAD,-0.4673338,-0.3671112,
69068,*Target 0,71.94309,65.51319,*Target 1,215.28943,69.60685,*Target 2,300.5132,93.05694,*Target 3,69.60686,184.71057,*Target 4,302.21054,212.89313,*Target 5,93.056946,334.4868,*Target 6,212.89311,332.78946,*Target 7,334.4868,306.94305,*CURSOR XY ,204.40773,196.55176,*HEAD,-0.4687185,-0.37257385,
69086,*Target 0,70.99989,66.13701,*Target 1,215.9937,70.49159,*Target 2,301.13702,94.00014,*Target 3,70.4916,184.0063,*Target 4,301.5063,212.00838,*Target 5,94.00014,333.86298,*Target 6,212.00838,333.4937,*Target 7,333.86298,305.99988,*CURSOR XY ,204.45924,196.84644,*HEAD,-0.47492447,-0.34072876,
69105,*Target 0,70.04424,66.85219,*Target 1,216.68156,71.46709,*Target 2,301.8522,94.95579,*Target 3,71.46709,183.31842,*Target 4,300.81842,211.03288,*Target 5,94.95579,333.1478,*Target 6,211.03288,334.18158,*Target 7,333.1478,305.04422,*CURSOR XY ,204.45638,197.14278,*HEAD,-0.4754344,-0.30871582,
69124,*Target 0,69.13296,67.6231,*Target 1,217.31003,72.481865,*Target 2,302.62314,95.86707,*Target 3,72.48187,182.68997,*Target 4,300.18994,210.0181,*Target 5,95.86707,332.37686,*Target 6,210.0181,334.81006,*Target 7,332.37686,304.13293,*CURSOR XY ,204.37082,197.13625,*HEAD,-0.4662503,-0.30943298,
69143,*Target 0,68.26929,68.447,*Target 1,217.87683,73.53233,*Target 2,303.44702,96.73074,*Target 3,73.53234,182.12317,*Target 4,299.62314,208.96762,*Target 5,96.73075,331.55298,*Target 6,208.96762,335.37686,*Target 7,331.55298,303.26926,*CURSOR XY ,204.2872,197.15639,*HEAD,-0.45726442,-0.30725098,
69162,*Target 0,67.4563,69.32096,*Target 1,218.37996,74.614746,*Target 2,304.32098,97.54373,*Target 3,74.61475,181.62004,*Target 4,299.12003,207.88521,*Target 5,97.54373,330.67902,*Target 6,207.88521,335.87997,*Target 7,330.67902,302.45627,*CURSOR XY ,204.40082,197.2526,*HEAD,-0.46958974,-0.29685974,
69182,*Target 0,66.65847,70.291565,*Target 1,218.8388,75.78439,*Target 2,305.2916,98.34157,*Target 3,75.7844,181.1612,*Target 4,298.66116,206.71555,*Target 5,98.34157,329.7084,*Target 6,206.71556,336.33884,*Target 7,329.7084,301.65845,*CURSOR XY ,204.58408,197.46837,*HEAD,-0.4898302,-0.2735443,
69201,*Target 0,65.95839,71.25834,*Target 1,219.20587,76.92017,*Target 2,306.2584,99.04164,*Target 3,76.92018,180.79413,*Target 4,298.2941,205.57976,*Target 5,99.04164,328.7416,*Target 6,205.57976,336.7059,*Target 7,328.74164,300.95837,*CURSOR XY ,204.76881,197.26515,*HEAD,-0.5094888,-0.29548645,
69220,*Target 0,65.31723,72.26514,*Target 1,219.50453,78.075836,*Target 2,307.2652,99.6828,*Target 3,78.07584,180.49547,*Target 4,297.99545,204.4241,*Target 5,99.6828,327.7348,*Target 6,204.4241,337.00455,*Target 7,327.7348,300.3172,*CURSOR XY ,204.86809,196.79068,*HEAD,-0.51932836,-0.34675598,
69238,*Target 0,64.766235,73.25264,*Target 1,219.7234,79.18527,*Target 2,308.2527,100.233795,*Target 3,79.18529,180.2766,*Target 4,297.77658,203.31467,*Target 5,100.233795,326.7473,*Target 6,203.31467,337.22342,*Target 7,326.74728,299.7662,*CURSOR XY ,204.91206,196.37482,*HEAD,-0.5232961,-0.39170837,
69258,*Target 0,64.22058,74.384415,*Target 1,219.89261,80.43025,*Target 2,309.38446,100.77944,*Target 3,80.43027,180.10738,*Target 4,297.60736,202.06967,*Target 5,100.77944,325.61554,*Target 6,202.06967,337.39264,*Target 7,325.61554,299.22055,*CURSOR XY ,204.97154,196.21065,*HEAD,-0.52944094,-0.4094391,
69277,*Target 0,63.769,75.48932,*Target 1,219.98065,81.62063,*Target 2,310.48938,101.23102,*Target 3,81.62064,180.01935,*Target 4,297.51935,200.87929,*Target 5,101.23102,324.51062,*Target 6,200.87929,337.48065,*Target 7,324.51065,298.76898,*CURSOR XY ,204.86525,196.03922,*HEAD,-0.5176067,-0.42796326,
69296,*Target 0,63.38414,76.619194,*Target 1,219.99753,82.81414,*Target 2,311.61926,101.61588,*Target 3,82.814156,180.00247,*Target 4,297.50247,199.68578,*Target 5,101.61588,323.38074,*Target 6,199.68578,337.49753,*Target 7,323.38077,298.38412,*CURSOR XY ,204.53156,195.75044,*HEAD,-0.48092544,-0.45915222,
