@@@Starting_Logging: /Users/ian/Desktop/MoMa/MoMaPlusPlus/VRPlus_V1/data/logMoMa_20180319_174539_Dwell_1_raw.csv
5257,
5274,
5291,
5328,
5346,
5366,
5383,
5402,
5420,
5437,
5454,
5470,
5487,
5504,
5520,
5538,
5556,
5575,
5594,
5613,
5630,
5646,
5663,
5682,
5701,
5721,
5738,
5755,
5771,
5789,
5805,
5821,
5837,
5854,
5871,
5888,
5905,
5924,
5943,
5962,
5981,
6000,
6018,
6037,
6054,
6071,
6087,
6104,
6121,
6136,
6154,
6171,
6187,
6204,
6221,
6237,
6254,
6272,
6288,
6304,
6321,
6338,
6354,
6372,
6387,
6404,
6425,
6438,
6454,
6472,
6488,
6507,
6521,
6538,
6554,
6571,
6589,
6605,
6622,
6638,
6655,
6672,
6692,
6715,
6728,
6747,
6765,
6783,
6803,
6822,
6838,
6854,
6871,
6888,
6905,
6922,
6938,
6955,
6971,
6988,
7005,
7022,
7039,
7055,
7072,
7092,
7111,
7130,
7148,
7167,
7186,
7205,
7221,
7239,
7255,
7271,
7288,
7305,
7322,
7338,
7355,
7371,
7388,
7405,
7421,
7438,
7455,
7471,
7488,
7505,
7521,
7538,
7556,
7572,
7592,
7612,
7628,
7644,
7661,
7681,
7699,
7717,
7735,
7752,
7769,
7787,
7804,
7821,
7838,
7856,
7872,
7889,
7906,
7924,
7941,
7957,
7973,
7993,
8010,
8028,
8045,
8061,
8077,
8097,
8116,
8132,
8149,
8169,
8188,
8205,
8222,
8237,
8253,
8269,
8285,
8301,
8317,
8333,
8350,
8367,
8386,
8405,
8423,
8443,
8461,
8479,
8497,
8514,
8531,
8549,
8566,
8582,
8600,
8618,
8635,
8651,
8669,
8689,
8705,
8722,
8739,
8756,
8772,
8789,
8806,
8822,
8839,
8857,
8877,
8896,
8914,
8931,
8948,
8968,
8985,
9002,
9021,
9039,
9055,
9072,
9090,
9106,
9122,
9139,
9157,
9172,
9188,
9206,
9222,
9239,
9256,
9273,
9290,
9306,
9322,
9339,
9356,
9372,
9389,
9407,
9422,
9438,
9456,
9471,
9489,
9507,
9525,
9541,
9556,
9572,
9589,
9606,
9622,
9638,
9656,
9671,
9688,
9705,
9722,
9739,
9756,
9773,
9790,
9808,
9826,
9842,
9860,
9878,
9894,
9910,
9926,
9942,
9962,
9978,
9998,
10014,
10030,
10046,
10063,
10079,
10094,
10110,
10126,
10142,
10158,
10174,
10191,
10207,
10223,
10239,
10256,
10273,
10289,
10306,
10323,
10339,
10357,
10374,
10391,
10407,
10425,
10441,
10461,
10477,
10494,
10511,
10531,
10550,
10567,
10587,
10606,
10623,
10640,
10657,
10674,
10692,
10711,
10730,
10749,
10767,
10787,
10806,
10823,
10840,
10858,
10874,
10891,
10906,
10923,
10940,
10956,
10973,
10990,
11006,
11023,
11040,
11057,
11073,
11090,
11107,
11124,
11140,
11157,
11173,
11190,
11207,
11224,
11241,
11257,
11273,
11290,
11307,
11324,
11341,
11361,
11381,
11401,
11419,
11439,
11458,
11474,
11491,
11507,
11523,
11541,
11558,
11573,
11591,
11607,
11623,
11640,
11657,
11673,
11689,
11706,
11723,
11741,
11758,
11775,
11792,
11808,
11824,
11841,
11858,
11873,
11890,
11907,
11925,
11941,
11960,
11980,
11997,
12017,
12035,
12052,
12072,
12090,
12107,
12125,
12143,
12160,
12177,
12194,
12212,
12228,
12245,
12263,
12280,
12298,
12315,
12332,
12349,
12365,
12384,
12401,
12418,
12436,
12453,
12470,
12487,
12505,
12522,
12540,
12558,
12574,
12591,
12607,
12624,
12641,
12657,
12673,
12691,
12708,
12725,
12742,
12758,
12775,
12791,
12807,
12825,
12841,
12857,
12874,
12891,
12907,
12924,
12942,
12958,
12975,
12991,
13007,
13024,
13041,
13057,
13076,
13094,
13110,
13126,
13141,
13157,
13174,
13191,
13208,
13227,
13244,
13262,
13282,
13302,
13322,
13341,
13358,
13375,
13392,
13408,
13424,
13441,
13458,
13474,
13491,
13508,
13524,
13541,
13558,
13574,
13591,
13608,
13624,
13641,
13659,
13675,
13692,
13708,
13724,
13741,
13758,
13775,
13792,
13808,
13825,

 ###START,0,0,6
13842,
13859,
13875,
13892,
13909,
13925,
13942,
13961,
13981,
13999,
14017,
14037,
14055,
14074,
14092,
14112,
14132,
14151,
14171,
14191,
14209,
14225,
14242,
14259,
14276,
14292,
14309,
14325,
14341,
14358,CURSOR XY ,400.0,400.0
14375,CURSOR XY ,400.0,400.0
14391,CURSOR XY ,400.0,400.0
14407,CURSOR XY ,400.0,400.0
14425,CURSOR XY ,400.0,400.0
14441,CURSOR XY ,400.0,400.0
14458,CURSOR XY ,400.0,400.0
14475,CURSOR XY ,400.0,400.0
14492,CURSOR XY ,400.0,400.0
14508,CURSOR XY ,400.0,400.0
14525,CURSOR XY ,400.0,400.0
14542,CURSOR XY ,400.0,400.0
14558,CURSOR XY ,400.0,400.0
14575,CURSOR XY ,400.0,400.0
14592,CURSOR XY ,400.0,400.0
14608,CURSOR XY ,400.0,400.0
14625,CURSOR XY ,400.0,400.0
14642,CURSOR XY ,400.0,400.0
