
 ###START,0,0,5
68699,*Target 0,102.496956,82.849045,68699,*Target 1,219.92389,84.24312,68699,*Target 2,317.84906,62.503044,68699,*Target 3,84.24312,180.07611,68699,*Target 4,297.5761,198.25688,68699,*Target 5,62.503044,317.15094,68699,*Target 6,198.25688,337.4239,68699,*Target 7,317.15094,337.49695,*CURSOR XY ,201.23631,194.19131,*HEAD,-0.14585638,-0.62879944,
68720,*Target 0,102.496956,82.150955,68720,*Target 1,219.85092,84.937386,68720,*Target 2,317.15094,62.503044,68720,*Target 3,84.937386,180.14908,68720,*Target 4,297.64908,197.5626,68720,*Target 5,62.503044,317.84906,68720,*Target 6,197.5626,337.35092,68720,*Target 7,317.84906,337.49695,*CURSOR XY ,201.04118,192.69095,*HEAD,-0.12794782,-0.79115295,
68739,*Target 0,102.47259,81.45328,68739,*Target 1,219.75377,85.62869,68739,*Target 2,316.45328,62.527412,68739,*Target 3,85.62869,180.24623,68739,*Target 4,297.74625,196.8713,68739,*Target 5,62.527412,318.54672,68739,*Target 6,196.8713,337.25375,68739,*Target 7,318.54672,337.4726,*CURSOR XY ,201.19568,193.55766,*HEAD,-0.14289062,-0.6973877,
68759,*Target 0,102.4239,80.75688,68759,*Target 1,219.63254,86.31618,68759,*Target 2,315.7569,62.576103,68759,*Target 3,86.31618,180.36746,68759,*Target 4,297.86746,196.18382,68759,*Target 5,62.576103,319.2431,68759,*Target 6,196.18382,337.13254,68759,*Target 7,319.2431,337.4239,*CURSOR XY ,201.78773,194.70251,*HEAD,-0.20473732,-0.5734558,
68779,*Target 0,102.35092,80.062614,68779,*Target 1,219.4874,86.99902,68779,*Target 2,315.06262,62.64908,68779,*Target 3,86.99902,180.5126,68779,*Target 4,298.0126,195.50098,68779,*Target 5,62.64908,319.93738,68779,*Target 6,195.50098,336.9874,68779,*Target 7,319.93738,337.35092,*CURSOR XY ,202.37915,194.849,*HEAD,-0.26864704,-0.55758667,
68800,*Target 0,102.25377,79.37131,68800,*Target 1,219.31851,87.676384,68800,*Target 2,314.3713,62.74623,68800,*Target 3,87.676384,180.68149,68800,*Target 4,298.1815,194.82362,68800,*Target 5,62.746235,320.6287,68800,*Target 6,194.82361,336.8185,68800,*Target 7,320.6287,337.25375,*CURSOR XY ,203.21396,195.45024,*HEAD,-0.35786045,-0.4925232,
68820,*Target 0,102.132545,78.68382,68820,*Target 1,219.1261,88.347435,68820,*Target 2,313.6838,62.867455,68820,*Target 3,88.347435,180.8739,68820,*Target 4,298.3739,194.15256,68820,*Target 5,62.867455,321.3162,68820,*Target 6,194.15256,336.6261,68820,*Target 7,321.3162,337.13254,*CURSOR XY ,204.09738,196.68077,*HEAD,-0.45084047,-0.35931396,
68842,*Target 0,101.987404,78.00098,68842,*Target 1,218.91037,89.01136,68842,*Target 2,313.00098,63.012596,68842,*Target 3,89.01136,181.08963,68842,*Target 4,298.58963,193.48863,68842,*Target 5,63.0126,321.99902,68842,*Target 6,193.48865,336.41037,68842,*Target 7,321.99902,336.9874,*CURSOR XY ,204.96391,197.7526,*HEAD,-0.5422965,-0.24330139,
68864,*Target 0,101.81851,77.323616,68864,*Target 1,218.6716,89.66736,68864,*Target 2,312.3236,63.181484,68864,*Target 3,89.66736,181.32838,68864,*Target 4,298.8284,192.83264,68864,*Target 5,63.181484,322.6764,68864,*Target 6,192.83264,336.1716,68864,*Target 7,322.6764,336.8185,*CURSOR XY ,205.5673,198.33847,*HEAD,-0.6064099,-0.1798706,
68885,*Target 0,101.6261,76.652565,68885,*Target 1,218.4101,90.31462,68885,*Target 2,311.65256,63.373905,68885,*Target 3,90.31462,181.5899,68885,*Target 4,299.0899,192.18538,68885,*Target 5,63.3739,323.34744,68885,*Target 6,192.18538,335.9101,68885,*Target 7,323.34744,336.6261,*CURSOR XY ,206.17358,198.72003,*HEAD,-0.671251,-0.13858032,
